batch,pm_id,store,serial,pm_date,tech,n_photos,reason,plate_reads
June (invoice #170015),52,Petco #1327,215314,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),53,Target #1984,9610808,2026-06-13,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),54,Walmart US #5435,7033449,2026-06-13,Michael S.,3,plate photo present but serial not on asset list,10555907
June (invoice #170015),57,Lucky #766,10882123,2026-06-13,Michael S.,3,photos show a different unit,11037160
June (invoice #170015),58,Walmart US #3023,302476,2026-06-13,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),60,Food Maxx #483,11003463,2026-06-13,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),62,Costco #1267,10702126,2026-06-14,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),63,Safeway Northern California #2900,305004,2026-06-14,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),71,Pet Club #M70,4815221,2026-06-14,Michael S.,2,plate photo present but serial not on asset list,7329088
June (invoice #170015),75,Target #1927,11001326,2026-06-14,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),76,Target #2605,10609652,2026-06-14,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),77,Safeway Northern California #316,304973,2026-06-14,Michael S.,4,"photos present, no legible plate",-
June (invoice #170015),78,Safeway Northern California #316,304985,2026-06-14,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),80,Petco #267,307524,2026-06-14,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),82,Petco #267,7814967,2026-06-14,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),83,Petco #267,7814967,2026-06-14,Michael S.,0,no photos at all,-
June (invoice #170015),84,Safeway #1714,311461,2026-06-15,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),93,Petco #334,M072676,2026-06-15,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),95,Nob Hill #621,32158100000907,2026-06-15,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),99,Concord Feed #116254,4593836,2026-06-15,Michael S.,3,plate photo present but serial not on asset list,14593836
June (invoice #170015),102,Safeway #928,291700,2026-06-15,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),104,Safeway Northern California #2941,311459,2026-06-15,Michael S.,0,no photos at all,-
June (invoice #170015),110,Petco #1335,312674,2026-06-15,Michael S.,0,no photos at all,-
June (invoice #170015),112,Sam's Club #6612,M158115,2026-06-15,Michael S.,2,plate photo present but serial not on asset list,M158116
June (invoice #170015),116,Safeway Northern California #955,304998,2026-06-15,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),117,Costco #643,10772056,2026-06-15,Michael S.,3,photos show a different unit,10564805
June (invoice #170015),118,Costco #663,10711714,2026-06-15,Michael S.,3,photos show a different unit,10564805
June (invoice #170015),120,Food Maxx #481,10998988,2026-06-15,Michael S.,0,no photos at all,-
June (invoice #170015),121,Safeway #1192,276958,2026-06-16,Michael S.,3,photos show a different unit,11037167
June (invoice #170015),126,Food 4 Less #764,11162184,2026-06-16,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),128,Lucky's #212,111012641-1,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),129,Lucky's #212,111012641-1,2026-06-16,Michael S.,0,no photos at all,-
June (invoice #170015),130,Safeway Northern California #1259,10168519,2026-06-16,Michael S.,0,no photos at all,-
June (invoice #170015),131,Safeway Northern California #1259,10633775,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),132,Raley's #333,10131443,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),133,Raley's #333,10131443,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),134,Raley's #333,10131456,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),135,Petco #1311,228178,2026-06-16,Michael S.,3,photos show a different unit,219069/226011
June (invoice #170015),137,Petco #1311,226511,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),138,PetSmart US #60,209581,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),139,PetSmart US #60,278208,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),140,PetSmart US #60,278138,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),142,Walmart US #2697,300026,2026-06-16,Michael S.,2,plate photo present but serial not on asset list,987
June (invoice #170015),144,Target #1819,9632944,2026-06-16,Michael S.,0,no photos at all,-
June (invoice #170015),149,Food Maxx #480,11032465,2026-06-16,Michael S.,0,no photos at all,-
June (invoice #170015),150,Somersville Pet Supply #604283,7624000,2026-06-16,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),151,Lucky's #737,10580511,2026-06-16,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),154,Raley's #336,9335624,2026-06-16,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),158,PetSmart US #56,278167,2026-06-16,Michael S.,6,photos show a different unit,10157996
June (invoice #170015),159,PetSmart US #56,278149,2026-06-16,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),160,PetSmart US #56,209606,2026-06-16,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),161,Petco #348,9459537,2026-06-17,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),163,Petco #348,9459537,2026-06-17,Michael S.,3,plate photo present but serial not on asset list,237270
June (invoice #170015),165,Safeway Northern California #1932,309094,2026-06-17,Michael S.,3,photos show a different unit,304933/304984
June (invoice #170015),166,Safeway Northern California #1932,295397,2026-06-17,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),170,PetSmart US #59,4815328,2026-06-17,Michael S.,2,plate photo present but serial not on asset list,283403
June (invoice #170015),171,PetSmart US #59,4815328,2026-06-17,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),179,Safeway Northern California #1257,304999,2026-06-17,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),185,Unleashed By Petco #5301,191641,2026-06-25,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),187,Nugget Market #5,10108991,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),189,Food Maxx #488,10523828,2026-06-25,Michael S.,3,photos show a different unit,10564805
June (invoice #170015),190,Food Maxx #488,10512609-1,2026-06-25,Michael S.,0,no photos at all,-
June (invoice #170015),191,Food Maxx #488,10512609-1,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),192,Bel-Air #506,9335627,2026-06-25,Michael S.,0,no photos at all,-
June (invoice #170015),193,Bel-Air #514,10737505,2026-06-25,Michael S.,2,plate photo present but serial not on asset list,9335627
June (invoice #170015),194,Bel-Air #514,10720811,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),195,Raleys Internet Store #406,8734060,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),197,Raleys #415,10115005,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),198,Pets Paradise,5022149,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),201,Walmart US #2735,300025,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),203,Walmart US #2735,300025,2026-06-25,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),208,Petsmart US #2237,281234,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),210,Foods Co #532,11162207,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),212,Food Maxx #464,11177388,2026-06-25,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),213,Costco #464,317018,2026-06-25,Michael S.,3,plate photo present but serial not on asset list,M2503090
June (invoice #170015),215,Save Mart #619,10892472,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),216,Save Mart #619,10905317,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),217,Foods Co #371,11162213,2026-06-25,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),218,Walmart US #3081,9659069,2026-06-25,Michael S.,2,"photos present, no legible plate",-
June (invoice #170015),227,Bel-Air #502,263144,2026-06-26,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),232,Safeway Northern California #1530,305435,2026-06-26,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),237,PetSmart US #50,281183,2026-06-26,Michael S.,3,plate photo present but serial not on asset list,208789
June (invoice #170015),238,Bel-Air #510,9330809,2026-06-26,Michael S.,2,plate photo present but serial not on asset list,933080
June (invoice #170015),244,Costco #1674,10779205,2026-06-26,Michael S.,3,plate photo present but serial not on asset list,M2502890
June (invoice #170015),251,Viva Supermarket #1,9212059,2026-06-26,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),252,Petco #371,383960515,2026-06-26,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),256,Costco #471,10702117,2026-06-26,Michael S.,2,plate photo present but serial not on asset list,M2502950
June (invoice #170015),257,Western Feed,369995723,2026-06-26,Michael S.,1,"photos present, no legible plate",-
June (invoice #170015),261,Target #310,10546296,2026-06-26,Michael S.,3,photos show a different unit,10564805
June (invoice #170015),263,Pet Supplies Plus #4045,223088,2026-06-26,Michael S.,3,photos show a different unit,10157996
June (invoice #170015),264,Pet Supplies Plus #4045,223088,2026-06-26,Michael S.,3,"photos present, no legible plate",-
June (invoice #170015),266,Food 4 Less #501,11162186,2026-06-27,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),411,Save Mart #622,10874906,2026-07-15,Michael S.,1,photos show a different unit,313084
July (invoice #172825),412,Save Mart #622,10911486,2026-07-15,Michael S.,0,no photos at all,-
July (invoice #172825),416,Petco #1343,20125900000422,2026-07-15,Michael S.,2,photos show a different unit,10157996
July (invoice #172825),422,Walmart US #5192,9627102,2026-07-15,Michael S.,2,plate photo present but serial not on asset list,10162233
July (invoice #172825),423,Safeway #2263,310797,2026-07-15,Michael S.,2,photos show a different unit,10157996
July (invoice #172825),425,Vons #1969,294053,2026-07-20,Michael S.,1,photos show a different unit,11008872
July (invoice #172825),429,Albertsons #377,10663625,2026-07-20,Michael S.,0,no photos at all,-
July (invoice #172825),430,Albertsons #377,10671487,2026-07-20,Michael S.,1,photos show a different unit,11008876
July (invoice #172825),434,Target #2524,9632927,2026-07-20,Michael S.,2,photos show a different unit,11008872/11008876
July (invoice #172825),436,PetSmart US #86,246364,2026-07-20,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),439,Foods Co #365,11162237,2026-07-21,Michael S.,0,no photos at all,-
July (invoice #172825),441,Albertsons #3129,10671490,2026-07-21,Michael S.,1,photos show a different unit,11008872
July (invoice #172825),445,Walmart US #5134,279848,2026-07-21,Michael S.,0,no photos at all,-
July (invoice #172825),446,Sam's Club #4819,M155783,2026-07-21,Michael S.,1,photos show a different unit,11008876
July (invoice #172825),447,Albertsons California #3364,10609622,2026-07-21,Michael S.,2,photos show a different unit,10157996
July (invoice #172825),451,Target #2715,10633827,2026-07-21,Michael S.,2,"photos present, no legible plate",-
July (invoice #172825),452,Walmart US #3139,303346,2026-07-21,Michael S.,2,"photos present, no legible plate",-
July (invoice #172825),453,Target #1384,9139322,2026-07-21,Michael S.,2,"photos present, no legible plate",-
July (invoice #172825),454,Walmart US #2557,10254960,2026-07-21,Michael S.,2,plate photo present but serial not on asset list,10609651
July (invoice #172825),456,Petco #1506,244270,2026-07-21,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),463,Petsmart US #3052,281232,2026-07-21,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),466,Walmart US #3138,303921,2026-07-21,Michael S.,2,plate photo present but serial not on asset list,10540885
July (invoice #172825),469,Walmart US #3140,302442,2026-07-21,Michael S.,2,photos show a different unit,11008872
July (invoice #172825),480,Food Maxx #499,11022906,2026-07-21,Michael S.,2,plate photo present but serial not on asset list,10546327
July (invoice #172825),481,Food Maxx #499,11022905,2026-07-21,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),491,Foods Co #339,11162239,2026-07-22,Michael S.,2,"photos present, no legible plate",-
July (invoice #172825),493,Petco #269,FPA,2026-07-22,Michael S.,0,no photos at all,-
July (invoice #172825),494,Walmart US #5632,M125927,2026-07-22,Michael S.,7,plate photo present but serial not on asset list,11200214
July (invoice #172825),501,Food Maxx #414,10523825-1,2026-07-22,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),502,Target #1417,10540856,2026-07-22,Michael S.,2,photos show a different unit,M158123
July (invoice #172825),503,Target #1417,10902793,2026-07-22,Michael S.,3,photos show a different unit,M158123
July (invoice #172825),508,Save Mart #54,32158100000214,2026-07-23,Michael S.,3,"photos present, no legible plate",-
July (invoice #172825),515,Walmart US #1815,9697100,2026-07-23,Michael S.,2,photos show a different unit,M153303
July (invoice #172825),516,Costco #31,317027,2026-07-23,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),521,Petco #1338,5232171,2026-07-23,Michael S.,2,photos show a different unit,11008876/M158123
July (invoice #172825),522,Petco #1338,341506031614,2026-07-23,Michael S.,1,photos show a different unit,M153303
July (invoice #172825),523,Petco #1338,312894,2026-07-23,Michael S.,2,photos show a different unit,10961123
July (invoice #172825),527,Save Mart #92,32158100000985,2026-07-23,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),530,Petco #1350,197934,2026-07-23,Michael S.,2,plate photo present but serial not on asset list,240067
July (invoice #172825),531,Petco #1350,244067,2026-07-23,Michael S.,2,plate photo present but serial not on asset list,197834
July (invoice #172825),538,Save Mart #635,11157328,2026-07-23,Michael S.,2,photos show a different unit,10874841
July (invoice #172825),539,Save Mart #635,11157331,2026-07-23,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),541,Raley's #308,9318070,2026-07-24,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),544,Carters Pet Mart #56789,9723510,2026-07-24,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),551,PetSmart US #81,246419,2026-07-24,Michael S.,2,photos show a different unit,10961123
July (invoice #172825),554,Save Mart #49,11133289,2026-07-24,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),555,Save Mart #49,11126733,2026-07-24,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),561,Cost Less Foods #13952,10588791,2026-07-29,Michael S.,2,plate photo present but serial not on asset list,10878244
July (invoice #172825),565,PetSmart US #1975,272477,2026-07-29,Michael S.,1,"photos present, no legible plate",-
July (invoice #172825),566,PetSmart US #1975,272479 Date 21- 10- 22,2026-07-29,Michael S.,0,no photos at all,-
July (invoice #172825),569,Walmart US #5710,10168520,2026-07-29,Michael S.,2,photos show a different unit,10961123
July (invoice #172825),570,Costco #661,10702119,2026-07-29,Michael S.,2,plate photo present but serial not on asset list,M2503082
July (invoice #172825),573,Target #938,10571802,2026-07-29,Michael S.,2,photos show a different unit,278022
July (invoice #172825),574,Raley's #339,10114978,2026-07-29,Michael S.,2,photos show a different unit,M158123
July (invoice #172825),575,Raley's #339,10114974,2026-07-29,Michael S.,2,photos show a different unit,10961123
July (invoice #172825),588,Costco #146,10702123,2026-07-30,Michael S.,3,plate photo present but serial not on asset list,M2502943
July (invoice #172825),589,Lucky #750,80090400000116,2026-07-30,Michael S.,2,photos show a different unit,278022
July (invoice #172825),593,Walmart US #2161,302431,2026-07-30,Michael S.,2,photos show a different unit,M158123
July (invoice #172825),600,Safeway Northern California #2856,294043,2026-07-30,Michael S.,2,photos show a different unit,M158123
July (invoice #172825),601,Safeway Northern California #1211,276954,2026-07-30,Michael S.,2,"photos present, no legible plate",-
July (invoice #172825),602,Safeway Northern California #1211,304440,2026-07-30,Michael S.,2,plate photo present but serial not on asset list,276973
July (invoice #172825),603,Lunardis #9,411409150336,2026-07-30,Michael S.,2,plate photo present but serial not on asset list,8220161006162
July (invoice #172825),605,Safeway Northern California #1195,309097,2026-07-31,Michael S.,1,plate photo present but serial not on asset list,-
August (not yet invoiced),607,Costco #148,313204,2026-08-21,Michael S.,2,plate photo present but serial not on asset list,M2503097
August (not yet invoiced),612,Target #2088,9879100,2026-08-21,Michael S.,2,photos show a different unit,M158123
August (not yet invoiced),614,Safeway Northern California #1476,305433,2026-08-21,Michael S.,2,photos show a different unit,304910
August (not yet invoiced),629,Target #2281,9407822,2026-08-23,Michael S.,2,photos show a different unit,278022
August (not yet invoiced),632,Safeway Northern California #1215,291681,2026-08-23,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),633,Safeway Northern California #1215,308994,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),636,Costco #470,10693773,2026-08-24,Michael S.,2,plate photo present but serial not on asset list,M2502569
August (not yet invoiced),638,Quality Pet Spot #604808,9986242,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),639,Lunardis Markets #1674,411412150860,2026-08-24,Michael S.,2,"photos present, no legible plate",-
August (not yet invoiced),644,Petco #271,226519,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),646,Petco #271,383970515,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),651,Target #1427,9595032,2026-08-24,Michael S.,2,photos show a different unit,11037160
August (not yet invoiced),652,Walmart US #2486,297896,2026-08-24,Michael S.,2,photos show a different unit,278022
August (not yet invoiced),653,Safeway Northern California #695,311970,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),662,Oceana Market #604221,4900424,2026-08-24,Michael S.,1,"photos present, no legible plate",-
August (not yet invoiced),664,Whole Foods Market #10009-MLV,11054265,2026-08-25,Michael S.,2,photos show a different unit,312231
August (not yet invoiced),667,Woodlands Pet Food & Treats,5081238,2026-08-25,Michael S.,2,photos show a different unit,312231
August (not yet invoiced),668,Pet Club #M89,691104050344,2026-08-25,Michael S.,2,"photos present, no legible plate",-
